"task","model","weight_wall","day","run","latency","wall_zone","target_quadrant"
"fixed","place",NA,8,29,46.0663491276841,12.7026721371084,20.2909774931214
"fixed","place",NA,1,30,49.9821687663562,20.8189914866123,7.98981288302941
"fixed","place",NA,2,30,49.1642541103464,15.1408820758136,20.627989780387
"fixed","place",NA,3,30,21.428789996372,15.5654551155852,41.477726110215
"fixed","place",NA,4,30,10.080858468908,10.0396825396825,37.9761904761905
"fixed","place",NA,5,30,8.8287148993474,11.3728750923873,46.8405556091134
"fixed","place",NA,6,30,12.4573873384526,20.1639344262295,43.5758598907629
"fixed","place",NA,7,30,32.8500924224878,8.58560924369748,59.0841649159664
"fixed","place",NA,8,30,37.6534968048753,17.5897394670803,61.4387769256683
"fixed","place",NA,1,31,60.1034178247277,21.5030123798942,14.7427533336743
"fixed","place",NA,2,31,34.9230726585864,13.4405742896051,18.6889376697561
"fixed","place",NA,3,31,29.8046947768431,8.99493524404356,28.809492405271
"fixed","place",NA,4,31,20.8953142988228,10.6609916604921,41.8496122468676
"fixed","place",NA,5,31,12.3126388564198,13.8439046333783,37.9128620507016
"fixed","place",NA,6,31,11.7010423082248,0.21551724137931,43.8581252158838
"fixed","place",NA,7,31,12.0325187465137,13.5431411842201,28.0784843091959
"fixed","place",NA,8,31,30.4706040031163,6.31166314305849,63.1360741590556
"fixed","place",NA,1,32,38.1126257049107,31.0538677093217,21.8456722074268
"fixed","place",NA,2,32,10.8516811894916,12.3894093156388,24.529158354295
"fixed","place",NA,3,32,5.4539706347965,4.86111111111111,29.0595238095238
"fixed","place",NA,4,32,15.8427442178286,7.35294117647059,46.1232663797226
"fixed","place",NA,5,32,11.9855752279392,6.64224734656207,35.693585602215
"fixed","place",NA,6,32,11.0876031554998,16.0729548229548,40.561173740053
"fixed","place",NA,7,32,19.9335064152502,18.2567763909299,31.4195952263103
"fixed","place",NA,8,32,6.83649875475042,0.263157894736842,45.3995784916838
"fixed","place",NA,1,33,60.1025615441606,28.9882276505518,9.23897740047265
"fixed","place",NA,2,33,29.3861237329114,16.1101988688196,18.4440187313751
"fixed","place",NA,3,33,9.29088362637728,11.1201298701299,43.2278497364704
"fixed","place",NA,4,33,12.1057566663884,7.25690276110444,25.1576846954998
"fixed","place",NA,5,33,9.18026991830048,8.33333333333333,33.8958403471365
"fixed","place",NA,6,33,18.5930779185608,0.536792181661397,57.7786540672607
"fixed","place",NA,7,33,17.4786411106205,16.510431247667,43.1682180851064
"fixed","place",NA,8,33,10.2180364128274,9.41455696202532,28.565527992993
"fixed","place",NA,1,34,54.9516633432711,18.2806889781743,8.21463314767731
"fixed","place",NA,2,34,27.8929940330079,19.0159143774731,20.2450868469207
"fixed","place",NA,3,34,25.214082811553,34.8289288423051,27.6056760203899
"fixed","place",NA,4,34,15.71424289581,3.30396475770925,53.5423377618359
"fixed","place",NA,5,34,8.97047690625576,0,43.857964951715
"fixed","place",NA,6,34,6.37327421889871,0,49.0051247771836
"fixed","place",NA,7,34,5.39727342146023,8.33333333333333,38.6742424242424
"fixed","place",NA,8,34,5.17443686735695,0,46.5991568914956
"fixed","place",NA,1,35,35.172470691021,20.4522429791668,24.7435042094059
"fixed","place",NA,2,35,21.0167052412282,13.051013578122,39.7545445074452
"fixed","place",NA,3,35,21.258168345824,8.30905116388987,34.7855105591479
"fixed","place",NA,4,35,18.0274846604762,10.1088726088726,28.6152318410383
"fixed","place",NA,5,35,9.74455573615858,12.3577981651376,38.9555076351001
"fixed","place",NA,6,35,13.7260703867651,10.8637252646111,45.5218433121221
"fixed","place",NA,7,35,8.71852963206381,22.8032879818594,25.8000283446712
"fixed","place",NA,8,35,10.4908101729592,13.8736263736264,42.9349324510615
"fixed","place",NA,1,36,39.2283976258617,20.0165806178552,33.308160127705
"fixed","place",NA,2,36,21.3333329208184,24.3037314223755,27.2869738547705
"fixed","place",NA,3,36,9.15209358292737,7.2780487804878,41.7013400173527
"fixed","place",NA,4,36,14.6120891174184,14.3933796364711,34.908979547228
"fixed","place",NA,5,36,12.138126538313,12.9699248120301,53.6147353678313
"fixed","place",NA,6,36,9.98717038456727,11.7788461538462,37.4125874125874
"fixed","place",NA,7,36,31.1887336667586,7.2586863903044,59.2212872790248
"fixed","place",NA,8,36,46.7546131724329,17.2600003926078,51.2232265639333
"fixed","place",NA,1,37,51.8730001607302,15.3076837372287,7.67802778190166
"fixed","place",NA,2,37,33.2074764161361,25.9225410104586,21.5616246125562
"fixed","place",NA,3,37,27.221095449686,6.7265501499043,43.842255755305
"fixed","place",NA,4,37,20.9959295803583,14.243433239142,39.1051020092163
"fixed","place",NA,5,37,28.2341053590748,1.72696592089115,40.0505905522835
"fixed","place",NA,6,37,16.6219622008026,18.0734810961151,48.3643636176956
"fixed","place",NA,7,37,9.85041120271884,18.5400313971743,29.2176870748299
"fixed","place",NA,8,37,13.0143114258523,5.58375634517767,47.6037889775199
"fixed","place",NA,1,38,52.3300078024695,15.7630572323862,10.1409019257522
"fixed","place",NA,2,38,36.9340155839688,20.6721411192214,25.8028134238548
"fixed","place",NA,3,38,29.4203789243358,17.967698397944,38.9437117188672
"fixed","place",NA,4,38,28.8178161868536,6.45908389089038,57.661440479726
"fixed","place",NA,5,38,28.9470257043377,5.1293539662081,55.716415887978
"fixed","place",NA,6,38,33.2127179024967,11.8248588970889,43.8135022111179
"fixed","place",NA,7,38,34.240358460095,12.2458897798345,59.8279610291421
"fixed","place",NA,8,38,14.7923624126448,13.0624681235986,27.5793487584467
"fixed","place",NA,1,39,50.5609574481767,21.6145487108029,13.9289522290787
"fixed","place",NA,2,39,48.4544217958243,20.0725769916505,19.1928663984178
"fixed","place",NA,3,39,30.5776829410178,21.7644831633257,25.1458199765712
"fixed","place",NA,4,39,23.8202964574774,19.7906768028719,35.9536127828811
"fixed","place",NA,5,39,23.721724627234,6.50432555916977,66.1388501920639
"fixed","place",NA,6,39,18.4773140765559,9.32598821943084,45.8385967402361
"fixed","place",NA,7,39,21.6211073934861,7.88171140939597,44.1152027159622
"fixed","place",NA,8,39,42.1207137568457,13.1995781680074,56.435922722366
"fixed","place",NA,1,40,33.0722565196999,27.3279004442041,16.3340124675575
"fixed","place",NA,2,40,24.568780906233,19.1985645933014,33.5224872702697
"fixed","place",NA,3,40,14.3975909051,7.81585563398348,44.5300554859233
"fixed","place",NA,4,40,5.43371693888954,0,27.8601685053298
"fixed","place",NA,5,40,10.2973516274405,7.8576129881527,49.5602138098847
"fixed","place",NA,6,40,14.8802164092623,4.01002506265664,49.0294363359379
"fixed","place",NA,7,40,7.2327985143434,14.9193548387097,59.9616467061289
"fixed","place",NA,8,40,6.07670339668535,0,56.9205185058844
"fixed","place",NA,1,41,41.7665609537665,18.6800162556742,17.6424825174825
"fixed","place",NA,2,41,24.1872935223046,11.501326259947,22.1495358090186
"fixed","place",NA,3,41,19.5098501420483,14.4695882869773,35.0593808059453
"fixed","place",NA,4,41,15.0983782454058,23.077424139175,34.6619053171945
"fixed","place",NA,5,41,21.1700416900833,1.57266811279826,67.7552393471304
"fixed","place",NA,6,41,11.2361948800078,6.75182481751825,41.3924344427705
"fixed","place",NA,7,41,6.12800991823248,1.6304347826087,41.491804231574
"fixed","place",NA,8,41,5.57633835007359,0,42.9918032786885
"fixed","place",NA,1,42,48.1515333286219,32.7963658968934,11.8461617961928
"fixed","place",NA,2,42,37.3680421782518,22.3349606866063,18.1107581414655
"fixed","place",NA,3,42,15.1999738598807,7.39664082687338,33.320945990309
"fixed","place",NA,4,42,30.2508824932854,18.1320959074766,33.5316608095796
"fixed","place",NA,5,42,34.9843033593955,9.57351321840676,22.0555050875861
"fixed","place",NA,6,42,38.9386140943767,8.4806003455226,38.2360271679223
"fixed","place",NA,7,42,19.3359508916042,10.9874900186319,45.903260150944
"fixed","place",NA,8,42,12.2002647411427,2.45535714285714,53.677739320428
"fixed","place",NA,1,43,31.9670387290392,34.9614352783367,26.848548556295
"fixed","place",NA,2,43,48.7866250390067,14.0759044802336,15.3937162986126
"fixed","place",NA,3,43,20.7414093803222,5.30842120787552,45.7378423146987
"fixed","place",NA,4,43,48.3876689579253,12.2176659390599,38.8021317432248
"fixed","place",NA,5,43,34.1899037627635,8.07686136864034,42.0595633028248
"fixed","place",NA,6,43,47.2839289326235,5.52464241993082,58.7725674070495
"fixed","place",NA,7,43,20.3798604491815,11.133845693183,32.6283359105328
"fixed","place",NA,8,43,30.8086829369572,4.36314363143631,40.7229266944411
"fixed","place",NA,1,44,42.1273748000005,21.1024073001103,21.3946674833819
"fixed","place",NA,2,44,42.0182971040446,12.8926248216862,29.5122797211946
"fixed","place",NA,3,44,34.9114088224971,12.011864651521,31.9733216581262
"fixed","place",NA,4,44,10.2689341986325,4.22684458398744,38.9746562960849
"fixed","place",NA,5,44,41.5377484273521,7.20906067265665,47.6926956114779
"fixed","place",NA,6,44,32.420129947133,12.844304388422,31.1794988265577
"fixed","place",NA,7,44,33.9703959049503,11.7345176412534,51.2601327860395
"fixed","place",NA,8,44,7.98503896806285,2.64423076923077,40.5055193848297
"fixed","place",NA,1,45,60.1432924690056,19.7552662489317,10.1296909492274
"fixed","place",NA,2,45,52.1518423271281,19.8261850139951,13.3257120447057
"fixed","place",NA,3,45,26.7232255000412,15.6400111903407,36.4457395638946
"fixed","place",NA,4,45,25.0278877390117,19.5059858318062,52.9726622476297
"fixed","place",NA,5,45,18.9798824161181,1.06503395760445,62.0022907844572
"fixed","place",NA,6,45,16.1316916663153,20.7461463358928,25.8821099194395
"fixed","place",NA,7,45,12.5005115163007,7.53577817531306,45.1375547691271
"fixed","place",NA,8,45,11.7261261484906,13.4566342475686,33.4372176127495
"fixed","place",NA,1,46,57.8063771298831,18.9726669067067,13.7244760895645
"fixed","place",NA,2,46,14.6149738673994,25.1543087496696,32.8528264993547
"fixed","place",NA,3,46,41.3276589840211,7.01915189620108,50.6235568681643
"fixed","place",NA,4,46,33.593405553146,11.7952439432846,35.0656590496939
"fixed","place",NA,5,46,17.4294959222953,15.5670225317793,25.626708876813
"fixed","place",NA,6,46,14.4301301408026,16.2588783277611,47.5290053880126
"fixed","place",NA,7,46,12.5648163673072,11.9159981123171,29.8972261548949
"fixed","place",NA,8,46,17.304295092424,14.9154011510991,45.4636134270002
"fixed","place",NA,1,47,39.4916137999929,21.2348904987138,20.1004081106218
